,Sentiment_score,Emotion,Episode,Season
rachel,0.9313,Fear,episode 01,Season-01
rachel,0.8375,Surprise,episode 02,Season-01
rachel,0.886,Surprise,episode 03,Season-01
rachel,0.958,Sad,episode 04,Season-01
rachel,0.0516,Fear,episode 05,Season-01
rachel,0.2732,Surprise,episode 06,Season-01
rachel,0.91,Fear,episode 07,Season-01
rachel,0,Surprise,episode 08,Season-01
rachel,0.6808,Surprise,episode 09,Season-01
rachel,-0.0772,Surprise,episode 10,Season-01
rachel,0.9155,Surprise,episode 11,Season-01
rachel,0.8957,Surprise,episode 12,Season-01
rachel,0.85,Fear,episode 13,Season-01
rachel,0.8271,Surprise,episode 14,Season-01
rachel,0.1531,Sad,episode 15,Season-01
rachel,0.6486,Fear,episode 16,Season-01
rachel,0.968,Happy,episode 17,Season-01
rachel,-0.4615,Fear,episode 18,Season-01
rachel,0.9917,Fear,episode 19,Season-01
rachel,0.9604,Fear,episode 20,Season-01
rachel,0.1531,Surprise,episode 21,Season-01
rachel,0.802,Surprise,episode 22,Season-01
rachel,0.9657,Surprise,episode 23,Season-01
rachel,0.9288,Sad,episode 24,Season-01
rachel,0.7506,Surprise,episode 01,Season-02
rachel,0.8834,Surprise,episode 02,Season-02
rachel,0.7269,Surprise,episode 03,Season-02
rachel,0.9761,Surprise,episode 04,Season-02
rachel,0.2023,Sad,episode 05,Season-02
rachel,0.8834,Surprise,episode 06,Season-02
rachel,0.8873,Surprise,episode 07,Season-02
rachel,0.8402,Surprise,episode 08,Season-02
rachel,0.0772,Surprise,episode 09,Season-02
rachel,-0.7115,Sad,episode 10,Season-02
rachel,0.4019,Surprise,episode 11,Season-02
rachel,0.91,Fear,episode 12,Season-02
rachel,0.8481,Surprise,episode 14,Season-02
rachel,0.8764,Surprise,episode 15,Season-02
rachel,0.7783,Surprise,episode 16,Season-02
rachel,0.6478,Surprise,episode 17,Season-02
rachel,0.9786,Surprise,episode 18,Season-02
rachel,0.8658,Surprise,episode 19,Season-02
rachel,0.9607,Surprise,episode 20,Season-02
rachel,0.4215,Surprise,episode 21,Season-02
rachel,0.9816,Surprise,episode 22,Season-02
rachel,0.8807,Surprise,episode 23,Season-02
rachel,0.7717,Surprise,episode 24,Season-02
rachel,0.2263,Surprise,episode 01,Season-03
rachel,0.8271,Surprise,episode 02,Season-03
rachel,0.3057,Fear,episode 03,Season-03
rachel,0.296,Sad,episode 04,Season-03
rachel,0.7717,Fear,episode 05,Season-03
rachel,-0.5965,Fear,episode 06,Season-03
rachel,0.4144,Sad,episode 07,Season-03
rachel,0.9702,Fear,episode 08,Season-03
rachel,0.7096,Fear,episode 09,Season-03
rachel,0.9538,Fear,episode 10,Season-03
rachel,0.9877,Fear,episode 11,Season-03
rachel,0.743,Fear,episode 12,Season-03
rachel,0.9186,Sad,episode 13,Season-03
rachel,-0.9122,Fear,episode 14,Season-03
rachel,0.0258,Sad,episode 15,Season-03
rachel,-0.4159,Surprise,episode 16,Season-03
rachel,0.1027,Fear,episode 17,Season-03
rachel,0.9648,Fear,episode 18,Season-03
rachel,0.6124,Fear,episode 19,Season-03
rachel,0.9217,Fear,episode 20,Season-03
rachel,0.886,Surprise,episode 21,Season-03
rachel,0,Surprise,episode 22,Season-03
rachel,0.8197,Surprise,episode 23,Season-03
rachel,0.9042,Surprise,episode 24,Season-03
rachel,0.9304,Sad,episode 25,Season-03
rachel,-0.9001,Surprise,episode 01,Season-04
rachel,0.9778,Sad,episode 02,Season-04
rachel,0.7506,Sad,episode 03,Season-04
rachel,0.8522,Surprise,episode 04,Season-04
rachel,0.9453,Fear,episode 05,Season-04
rachel,0.4215,Surprise,episode 06,Season-04
rachel,-0.7579,Sad,episode 07,Season-04
rachel,-0.8555,Surprise,episode 08,Season-04
rachel,0.935,Surprise,episode 09,Season-04
rachel,0.875,Sad,episode 10,Season-04
rachel,0.5423,Surprise,episode 11,Season-04
rachel,-0.5423,Fear,episode 12,Season-04
rachel,0.5892,Surprise,episode 13,Season-04
rachel,0.9693,Fear,episode 14,Season-04
rachel,-0.1442,Surprise,episode 15,Season-04
rachel,0.9833,Sad,episode 16,Season-04
rachel,0.4215,Surprise,episode 17,Season-04
rachel,0.9665,Fear,episode 18,Season-04
rachel,0.836,Fear,episode 19,Season-04
rachel,0.9714,Surprise,episode 20,Season-04
rachel,0.9752,Surprise,episode 21,Season-04
rachel,0.6427,Surprise,episode 22,Season-04
rachel,-0.9042,Sad,episode 23,Season-04
rachel,0.6429,Surprise,episode 01,Season-05
rachel,-0.9181,Surprise,episode 02,Season-05
rachel,0.8519,Sad,episode 03,Season-05
rachel,0.34,Surprise,episode 04,Season-05
rachel,0.4186,Surprise,episode 05,Season-05
rachel,-0.7976,Surprise,episode 06,Season-05
rachel,0.9565,Fear,episode 07,Season-05
rachel,0.9661,Surprise,episode 08,Season-05
rachel,-0.969,Surprise,episode 09,Season-05
rachel,0.9501,Surprise,episode 10,Season-05
rachel,0.6124,Surprise,episode 11,Season-05
rachel,0.9339,Surprise,episode 12,Season-05
rachel,0.9493,Surprise,episode 13,Season-05
rachel,0.9325,Surprise,episode 14,Season-05
rachel,0.9182,Surprise,episode 15,Season-05
rachel,0.9423,Surprise,episode 16,Season-05
rachel,-0.4939,Fear,episode 17,Season-05
rachel,0.9849,Surprise,episode 18,Season-05
rachel,0.9716,Surprise,episode 19,Season-05
rachel,-0.037,Fear,episode 20,Season-05
rachel,0.9756,Fear,episode 21,Season-05
rachel,0.705,Surprise,episode 22,Season-05
rachel,0.9638,Fear,episode 23,Season-05
rachel,-0.8166,Surprise,episode 01,Season-06
rachel,0.9663,Surprise,episode 02,Season-06
rachel,0.9774,Fear,episode 03,Season-06
rachel,0.9066,Surprise,episode 04,Season-06
rachel,-0.4521,Fear,episode 05,Season-06
rachel,-0.4201,Surprise,episode 06,Season-06
rachel,0.9485,Surprise,episode 07,Season-06
rachel,0.6808,Surprise,episode 08,Season-06
rachel,0.703,Sad,episode 09,Season-06
rachel,0.931,Surprise,episode 10,Season-06
rachel,0.3892,Surprise,episode 11,Season-06
rachel,0.969,Fear,episode 12,Season-06
rachel,0.8777,Surprise,episode 13,Season-06
rachel,0.8807,Surprise,episode 14,Season-06
rachel,0.9794,Surprise,episode 15,Season-06
rachel,0.2263,Surprise,episode 17,Season-06
rachel,0.9547,Surprise,episode 18,Season-06
rachel,0.8473,Surprise,episode 19,Season-06
rachel,-0.0258,Sad,episode 20,Season-06
rachel,0.9872,Sad,episode 21,Season-06
rachel,0.9393,Surprise,episode 22,Season-06
rachel,0.9962,Surprise,episode 23,Season-06
rachel,0.9935,Surprise,episode 24,Season-06
rachel,-0.705,Surprise,episode 01,Season-07
rachel,-0.4818,Sad,episode 02,Season-07
rachel,-0.2285,Surprise,episode 03,Season-07
rachel,0.9613,Surprise,episode 04,Season-07
rachel,0.9753,Surprise,episode 05,Season-07
rachel,0.9001,Surprise,episode 06,Season-07
rachel,0.9403,Sad,episode 07,Season-07
rachel,0.8519,Surprise,episode 08,Season-07
rachel,0.8692,Surprise,episode 09,Season-07
rachel,0.961,Fear,episode 10,Season-07
rachel,0.7408,Surprise,episode 11,Season-07
rachel,0.8658,Fear,episode 12,Season-07
rachel,0.872,Surprise,episode 13,Season-07
rachel,0.9468,Surprise,episode 14,Season-07
rachel,0.9879,Surprise,episode 15,Season-07
rachel,0.9867,Surprise,episode 16,Season-07
rachel,0.4215,Fear,episode 17,Season-07
rachel,0.7684,Surprise,episode 18,Season-07
rachel,0.9081,Fear,episode 19,Season-07
rachel,0.8811,Surprise,episode 20,Season-07
rachel,0.853,Surprise,episode 21,Season-07
rachel,0.6361,Fear,episode 22,Season-07
rachel,0.9825,Surprise,episode 23,Season-07
rachel,0.9272,Surprise,episode 01,Season-08
rachel,0.9505,Surprise,episode 02,Season-08
rachel,0.9485,Fear,episode 03,Season-08
rachel,0.9675,Surprise,episode 04,Season-08
rachel,0.831,Surprise,episode 05,Season-08
rachel,0.9556,Surprise,episode 06,Season-08
rachel,0.9372,Fear,episode 07,Season-08
rachel,0.7154,Sad,episode 08,Season-08
rachel,0.9371,Sad,episode 09,Season-08
rachel,0.9532,Fear,episode 10,Season-08
rachel,0.9803,Surprise,episode 11,Season-08
rachel,0.9556,Surprise,episode 12,Season-08
rachel,0.7003,Surprise,episode 13,Season-08
rachel,0.9442,Surprise,episode 14,Season-08
rachel,-0.8126,Surprise,episode 15,Season-08
rachel,0.9274,Surprise,episode 16,Season-08
rachel,0.1243,Sad,episode 17,Season-08
rachel,0.9868,Surprise,episode 18,Season-08
rachel,0.1602,Surprise,episode 19,Season-08
rachel,0.9725,Surprise,episode 20,Season-08
rachel,0.9716,Happy,episode 21,Season-08
rachel,0.9423,Surprise,episode 22,Season-08
rachel,-0.1372,Surprise,episode 23,Season-08
rachel,0.8519,Surprise,episode 01,Season-09
rachel,0.9699,Surprise,episode 02,Season-09
rachel,0.8519,Fear,episode 03,Season-09
rachel,0.5859,Sad,episode 04,Season-09
rachel,0.9468,Sad,episode 05,Season-09
rachel,0.9837,Fear,episode 06,Season-09
rachel,0.8689,Sad,episode 07,Season-09
rachel,-0.3197,Fear,episode 08,Season-09
rachel,0.9284,Surprise,episode 09,Season-09
rachel,0.6486,Surprise,episode 10,Season-09
rachel,0.9607,Surprise,episode 11,Season-09
rachel,0.9738,Surprise,episode 12,Season-09
rachel,-0.8316,Surprise,episode 13,Season-09
rachel,0.9287,Surprise,episode 14,Season-09
rachel,-0.0516,Happy,episode 15,Season-09
rachel,0.4144,Sad,episode 16,Season-09
rachel,0.7184,Fear,episode 17,Season-09
rachel,0.9432,Surprise,episode 18,Season-09
rachel,0.9862,Surprise,episode 19,Season-09
rachel,-0.1027,Fear,episode 20,Season-09
rachel,0.9633,Sad,episode 21,Season-09
rachel,0.9007,Surprise,episode 22,Season-09
rachel,0.7759,Surprise,episode 23,Season-09
rachel,0.9839,Surprise,episode 01,Season-10
rachel,0.3307,Surprise,episode 02,Season-10
rachel,0.9781,Sad,episode 03,Season-10
rachel,0.9627,Surprise,episode 04,Season-10
rachel,0.9906,Surprise,episode 05,Season-10
rachel,0.5106,Surprise,episode 06,Season-10
rachel,-0.0038,Surprise,episode 07,Season-10
rachel,0.5423,Sad,episode 08,Season-10
rachel,0.9868,Surprise,episode 09,Season-10
rachel,0.9169,Fear,episode 10,Season-10
rachel,0.9598,Surprise,episode 11,Season-10
rachel,0.9354,Sad,episode 12,Season-10
rachel,0.9708,Surprise,episode 13,Season-10
rachel,0.9893,Fear,episode 14,Season-10
rachel,0.9559,Fear,episode 15,Season-10
monica,0.9756,Surprise,episode 01,Season-01
monica,0.3948,Fear,episode 02,Season-01
monica,0.9424,Surprise,episode 03,Season-01
monica,0.9842,Surprise,episode 04,Season-01
monica,0.8934,Surprise,episode 05,Season-01
monica,0.25,Fear,episode 06,Season-01
monica,0.296,Surprise,episode 07,Season-01
monica,0.7717,Surprise,episode 08,Season-01
monica,0.7269,Sad,episode 09,Season-01
monica,0.5423,Surprise,episode 10,Season-01
monica,0.9293,Surprise,episode 11,Season-01
monica,0.6712,Fear,episode 12,Season-01
monica,0.4588,Surprise,episode 13,Season-01
monica,0.6908,Surprise,episode 14,Season-01
monica,0.986,Fear,episode 15,Season-01
monica,0,Fear,episode 16,Season-01
monica,-0.9008,Sad,episode 17,Season-01
monica,0.9001,Sad,episode 18,Season-01
monica,0.9578,Surprise,episode 19,Season-01
monica,0.7906,Surprise,episode 20,Season-01
monica,0.2516,Surprise,episode 21,Season-01
monica,0.8442,Surprise,episode 22,Season-01
monica,0.8481,Sad,episode 23,Season-01
monica,0.9621,Surprise,episode 24,Season-01
monica,0.3729,Surprise,episode 01,Season-02
monica,0.5594,Surprise,episode 02,Season-02
monica,0.8696,Surprise,episode 03,Season-02
monica,-0.5423,Sad,episode 04,Season-02
monica,0.8689,Fear,episode 05,Season-02
monica,0.9473,Surprise,episode 06,Season-02
monica,-0.3612,Surprise,episode 07,Season-02
monica,0.9509,Surprise,episode 08,Season-02
monica,-0.6453,Surprise,episode 09,Season-02
monica,0.296,Surprise,episode 10,Season-02
monica,0.947,Surprise,episode 11,Season-02
monica,-0.5106,Surprise,episode 12,Season-02
monica,0.5563,Surprise,episode 14,Season-02
monica,0.9201,Surprise,episode 15,Season-02
monica,0.9779,Sad,episode 16,Season-02
monica,0.7906,Sad,episode 17,Season-02
monica,0.5908,Sad,episode 18,Season-02
monica,0.7964,Surprise,episode 19,Season-02
monica,0.9521,Surprise,episode 20,Season-02
monica,0.1189,Sad,episode 21,Season-02
monica,0.9479,Fear,episode 22,Season-02
monica,0.8992,Sad,episode 23,Season-02
monica,0.8678,Surprise,episode 24,Season-02
monica,-0.6705,Surprise,episode 01,Season-03
monica,0.9712,Fear,episode 02,Season-03
monica,0.5423,Surprise,episode 03,Season-03
monica,0.4939,Surprise,episode 04,Season-03
monica,0.2298,Surprise,episode 05,Season-03
monica,0.9472,Surprise,episode 06,Season-03
monica,-0.5106,Sad,episode 07,Season-03
monica,0.7783,Surprise,episode 08,Season-03
monica,-0.3612,Surprise,episode 09,Season-03
monica,0.3744,Surprise,episode 10,Season-03
monica,0.7783,Surprise,episode 11,Season-03
monica,0.9509,Surprise,episode 12,Season-03
monica,0.9683,Surprise,episode 13,Season-03
monica,-0.5719,Surprise,episode 14,Season-03
monica,0.9317,Surprise,episode 15,Season-03
monica,0.8366,Surprise,episode 16,Season-03
monica,-0.6475,Surprise,episode 17,Season-03
monica,0.743,Fear,episode 18,Season-03
monica,0.9313,Fear,episode 19,Season-03
monica,0.1171,Fear,episode 20,Season-03
monica,0.9238,Surprise,episode 21,Season-03
monica,-0.1779,Fear,episode 22,Season-03
monica,0.8944,Surprise,episode 23,Season-03
monica,-0.6627,Surprise,episode 24,Season-03
monica,-0.1531,Fear,episode 25,Season-03
monica,0.4939,Sad,episode 01,Season-04
monica,0.9524,Fear,episode 02,Season-04
monica,0.9652,Surprise,episode 03,Season-04
monica,0.8176,Surprise,episode 04,Season-04
monica,-0.8126,Surprise,episode 05,Season-04
monica,0.9509,Fear,episode 06,Season-04
monica,0.4767,Surprise,episode 07,Season-04
monica,0.9186,Surprise,episode 08,Season-04
monica,0.9501,Fear,episode 09,Season-04
monica,0.9769,Fear,episode 10,Season-04
monica,0.868,Fear,episode 11,Season-04
monica,-0.1531,Surprise,episode 12,Season-04
monica,0.918,Surprise,episode 13,Season-04
monica,0.9038,Surprise,episode 14,Season-04
monica,-0.1779,Fear,episode 15,Season-04
monica,0.3612,Surprise,episode 16,Season-04
monica,0.9807,Fear,episode 17,Season-04
monica,-0.4588,Sad,episode 18,Season-04
monica,0.4588,Surprise,episode 19,Season-04
monica,-0.5106,Fear,episode 20,Season-04
monica,0.836,Surprise,episode 21,Season-04
monica,0.9403,Surprise,episode 22,Season-04
monica,0.9672,Fear,episode 23,Season-04
monica,0.9552,Surprise,episode 01,Season-05
monica,0.9638,Surprise,episode 02,Season-05
monica,0.9781,Surprise,episode 03,Season-05
monica,0.9627,Surprise,episode 04,Season-05
monica,0.9753,Fear,episode 05,Season-05
monica,0.9588,Fear,episode 06,Season-05
monica,0.9517,Surprise,episode 07,Season-05
monica,0.9709,Sad,episode 08,Season-05
monica,0.8066,Surprise,episode 09,Season-05
monica,0.9205,Surprise,episode 10,Season-05
monica,0.5719,Surprise,episode 11,Season-05
monica,0.5314,Surprise,episode 12,Season-05
monica,0.9409,Surprise,episode 13,Season-05
monica,0.8126,Surprise,episode 14,Season-05
monica,0.8238,Surprise,episode 15,Season-05
monica,0.128,Surprise,episode 16,Season-05
monica,0.8399,Surprise,episode 17,Season-05
monica,0.8685,Surprise,episode 18,Season-05
monica,0.9739,Sad,episode 19,Season-05
monica,0.6658,Fear,episode 20,Season-05
monica,0.8957,Sad,episode 21,Season-05
monica,0.4767,Fear,episode 22,Season-05
monica,0.9001,Fear,episode 23,Season-05
monica,-0.4588,Surprise,episode 01,Season-06
monica,-0.7363,Sad,episode 02,Season-06
monica,0.9623,Fear,episode 03,Season-06
monica,0.6908,Surprise,episode 04,Season-06
monica,0.9758,Fear,episode 05,Season-06
monica,0.4162,Surprise,episode 06,Season-06
monica,0.8555,Surprise,episode 07,Season-06
monica,0.0314,Surprise,episode 08,Season-06
monica,0.936,Surprise,episode 09,Season-06
monica,0.8187,Surprise,episode 10,Season-06
monica,0.9762,Sad,episode 11,Season-06
monica,-0.2763,Fear,episode 12,Season-06
monica,-0.9866,Sad,episode 13,Season-06
monica,-0.9518,Fear,episode 14,Season-06
monica,0.9666,Surprise,episode 15,Season-06
monica,0.9201,Surprise,episode 17,Season-06
monica,0.7579,Fear,episode 18,Season-06
monica,0.991,Surprise,episode 19,Season-06
monica,-0.5267,Sad,episode 20,Season-06
monica,0.8368,Surprise,episode 21,Season-06
monica,0.9246,Sad,episode 22,Season-06
monica,0,Angry,episode 23,Season-06
monica,0.9856,Surprise,episode 24,Season-06
monica,0.9677,Fear,episode 01,Season-07
monica,0.9627,Fear,episode 02,Season-07
monica,0.9603,Surprise,episode 03,Season-07
monica,0.8225,Surprise,episode 04,Season-07
monica,0.959,Surprise,episode 05,Season-07
monica,0.9599,Surprise,episode 06,Season-07
monica,-0.4432,Fear,episode 07,Season-07
monica,-0.34,Fear,episode 08,Season-07
monica,0.0407,Surprise,episode 09,Season-07
monica,0.3818,Fear,episode 10,Season-07
monica,0.8891,Surprise,episode 11,Season-07
monica,0.7906,Surprise,episode 12,Season-07
monica,0.5423,Surprise,episode 13,Season-07
monica,0.9553,Fear,episode 14,Season-07
monica,0.895,Surprise,episode 15,Season-07
monica,-0.4588,Surprise,episode 16,Season-07
monica,0.83,Fear,episode 17,Season-07
monica,0.959,Surprise,episode 18,Season-07
monica,0.9288,Surprise,episode 19,Season-07
monica,0.8069,Fear,episode 20,Season-07
monica,0.9465,Surprise,episode 21,Season-07
monica,0.5994,Fear,episode 22,Season-07
monica,0.9723,Surprise,episode 23,Season-07
monica,0.9698,Fear,episode 01,Season-08
monica,0.8731,Fear,episode 02,Season-08
monica,0.8402,Surprise,episode 03,Season-08
monica,0.9607,Fear,episode 04,Season-08
monica,-0.6124,Surprise,episode 05,Season-08
monica,0.9685,Surprise,episode 06,Season-08
monica,0.4767,Surprise,episode 07,Season-08
monica,-0.1531,Fear,episode 08,Season-08
monica,0.9913,Fear,episode 09,Season-08
monica,0.8891,Surprise,episode 10,Season-08
monica,-0.1027,Surprise,episode 11,Season-08
monica,-0.5267,Fear,episode 12,Season-08
monica,0.8876,Surprise,episode 13,Season-08
monica,0.0516,Fear,episode 14,Season-08
monica,0.9254,Surprise,episode 15,Season-08
monica,0.9169,Surprise,episode 16,Season-08
monica,0.4397,Surprise,episode 17,Season-08
monica,0.5423,Surprise,episode 18,Season-08
monica,0.7506,Surprise,episode 19,Season-08
monica,0.6705,Sad,episode 20,Season-08
monica,-0.9404,Sad,episode 21,Season-08
monica,0.8991,Surprise,episode 22,Season-08
monica,0.923,Surprise,episode 23,Season-08
monica,0.3818,Surprise,episode 01,Season-09
monica,0.4943,Surprise,episode 02,Season-09
monica,0.9396,Surprise,episode 03,Season-09
monica,0.5708,Surprise,episode 04,Season-09
monica,0.8492,Sad,episode 05,Season-09
monica,0.975,Surprise,episode 06,Season-09
monica,-0.6808,Fear,episode 07,Season-09
monica,0.9618,Surprise,episode 08,Season-09
monica,0.8356,Surprise,episode 09,Season-09
monica,0.9025,Surprise,episode 10,Season-09
monica,0.8912,Sad,episode 11,Season-09
monica,0.9565,Happy,episode 12,Season-09
monica,0.9197,Surprise,episode 13,Season-09
monica,-0.0772,Surprise,episode 14,Season-09
monica,0.0665,Surprise,episode 15,Season-09
monica,0.576,Fear,episode 16,Season-09
monica,0.1477,Fear,episode 17,Season-09
monica,0.9652,Surprise,episode 18,Season-09
monica,0.6786,Surprise,episode 19,Season-09
monica,-0.7003,Surprise,episode 20,Season-09
monica,0.9712,Surprise,episode 21,Season-09
monica,0.9749,Surprise,episode 22,Season-09
monica,0.7078,Surprise,episode 23,Season-09
monica,0.7579,Surprise,episode 01,Season-10
monica,0.9694,Surprise,episode 02,Season-10
monica,-0.8658,Surprise,episode 03,Season-10
monica,0.7517,Fear,episode 04,Season-10
monica,0.8885,Surprise,episode 05,Season-10
monica,-0.926,Surprise,episode 06,Season-10
monica,0.6629,Fear,episode 07,Season-10
monica,0.8235,Sad,episode 08,Season-10
monica,0.98,Surprise,episode 09,Season-10
monica,0.9811,Surprise,episode 10,Season-10
monica,-0.7674,Surprise,episode 11,Season-10
monica,0.6051,Surprise,episode 12,Season-10
monica,0.9001,Surprise,episode 13,Season-10
monica,0.9571,Sad,episode 14,Season-10
monica,0.0397,Surprise,episode 15,Season-10
chandler,0.4588,Fear,episode 01,Season-01
chandler,-0.6124,Fear,episode 02,Season-01
chandler,0.6124,Surprise,episode 03,Season-01
chandler,0.8074,Surprise,episode 04,Season-01
chandler,0.9022,Surprise,episode 05,Season-01
chandler,0.9856,Surprise,episode 06,Season-01
chandler,0.891,Fear,episode 07,Season-01
chandler,0.9648,Surprise,episode 08,Season-01
chandler,0.9784,Surprise,episode 09,Season-01
chandler,-0.5221,Surprise,episode 10,Season-01
chandler,-0.804,Surprise,episode 11,Season-01
